,idnumber,snoact04,snoact01,snoact05,climb101,climb102,camp103,hik203,race_label,any_backcountry
0,1.00,,,,,,0.0,,White,0
1,2.00,,,,,,,,White,0
2,3.00,,,,,,,,White,0
3,4.00,0.0,0.0,1.0,1.0,0.0,1.0,1.0,White,1
4,5.00,,,,,,,,White,0
5,6.00,,,,,,0.0,,White,0
6,7.00,,,,,,,,White,0
7,8.00,,,,,,0.0,,White,0
8,361.00,,,,,,,0.0,White,0
9,9.00,,,,,,,0.0,Asian,0
10,10.00,,,,,,0.0,,Hispanic/Latino,0
11,11.00,,,,,,0.0,,Am. Ind./AK Native,0
12,12.00,,,,,,,,White,0
13,13.00,,,,,,0.0,1.0,White,1
14,14.00,,,,,,0.0,1.0,White,1
15,21.00,1.0,0.0,0.0,,,0.0,,White,1
16,15.00,1.0,1.0,1.0,,,,1.0,White,1
17,16.00,,,,,,,0.0,White,0
18,17.00,,,,,,,,White,0
19,18.00,,,,,,,,White,0
20,19.00,,,,,,,,White,0
21,20.00,,,,,,,,White,0
23,22.00,,,,,,0.0,,White,0
24,23.00,,,,,,1.0,1.0,White,1
25,24.00,,,,,,,1.0,White,1
26,25.00,,,,,,,,White,0
27,26.00,,,,,,,,White,0
28,27.00,,,,,,,,White,0
29,28.00,0.0,0.0,0.0,,,0.0,,White,0
30,34.00,0.0,0.0,0.0,,,0.0,1.0,White,1
31,29.00,0.0,0.0,0.0,,,0.0,1.0,White,1
32,30.00,,,,,,,,White,0
33,31.00,,,,,,0.0,1.0,White,1
34,32.00,1.0,0.0,0.0,,,,1.0,White,1
35,33.00,,,,,,0.0,0.0,White,0
37,36.00,,,,,,0.0,,White,0
38,37.00,,,,,,,0.0,White,0
39,38.00,,,,,,0.0,1.0,White,1
40,39.00,1.0,0.0,0.0,,,,,White,1
41,40.00,,,,,,0.0,,White,0
42,47.00,,,,,,0.0,0.0,White,0
43,41.00,,,,,,,,White,0
44,42.00,,,,,,,,White,0
45,43.00,,,,,,,1.0,White,1
46,44.00,0.0,0.0,0.0,,,0.0,,White,0
47,45.00,0.0,1.0,0.0,,,0.0,,White,1
48,46.00,,,,,,0.0,0.0,White,0
