,branch4,col1,col101,col102,col103,col104,col105,col106,col2,col201,col202,col203,col204,col205,col206,col207,col208,col209,col210,col211,col212,col213,col214,col3,col301,col302,col303,col304,col305,col4,col401,col402,col403,col404,col405,col5,col7,col8,hiweight,hntst1,hntst10,hntst101,hntst102,hntst103,hntst104,hntst105,hntst11,hntst12,hntst2,hntst201,hntst202,hntst203,hntst204,hntst205,hntst206,hntst207,hntst208,hntst209,hntst210,hntst3,hntst301,hntst302,hntst303,hntst304,hntst305,hntst306,hntst307,hntst308,hntst309,hntst310,hntst4,hntst401,hntst402,hntst403,hntst404,hntst405,hntst406,hntst5,hntst7,hntst9,hock1,hock101,hock102,hock103,hock104,hock105,hock106,hock107,hock108,hock109,hock110,hock111,hock2,hock3,hock5,hock6,hrs2,hrs201,hrs202,hrs203,hrs204,hrs205,hrs3,hrs5,hrs6,hrse1,hrse101,hrse102,hrse103,hrse104,hrse105,hrse106,idnumber,jog1,jog101,jog102,jog103,jog104,jog105,jog106,jog107,jog108,jog109,jog110,jog2,jog3,jog301,jog302,jog303,jog304,jog305,jog4,jog5,jog501,jog502,jog503,jog504,jog505,jog506,jog507,jog6,jog8,jog9,lax1,lax101,lax102,lax103,lax104,lax105,lax106,lax2,lax3,lax5,lax6,loweight,off1,off101,off102,off103,off104,off105,off2,off201,off202,off203,off204,off205,off206,off207,off208,off3,off301,off302,off303,off304,off305,off306,off307,off308,off4,off401,off402,off403,off404,off405,off406,off407,off408,off5,off7,off8,shoot1,shoot101,shoot102,shoot103,shoot104,shoot105,shoot106,shoot107,shoot108,skte1,skte101,skte102,skte103,skte104,skte105,skte106,skte107,skte108,skte109,skte110,skte111,skte12,skte3,skte4,view1,view101,view102,view103,view104,view105,view106,view107,view108,view109,view110,view111,view112,view2,view201,view202,view203,view204,view205,view206,view207,view208,view3,view4,view401,view402,view403,view404,view405,view406,view407,view408,view409,view410,view411,view412,view5,view7,view8
0,At least 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1704.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.00,10000000,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,No,,,,,,,,,,,,,,,,300,Highly satisfied,Highly satisfied,,,,,,,,,,,,4.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,At least 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3744.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,At least 18,10,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,100,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,,,,,,,,,,,,,10,Highly satisfied,Highly satisfied,3857.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11100,Checked,Checked,Checked,Not checked,Not checked,3,Highly satisfied,Highly satisfied,111000,Checked,Checked,Checked,Not checked,Not checked,Not checked,3.00,1100000000,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Yes,11000,Checked,Checked,Not checked,Not checked,Not checked,No,,,,,,,,,100,Highly satisfied,Highly satisfied,,,,,,,,,,,,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,10000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,No,,,,,,,,,,,,,,10,Satisfied,Satisfied
3,At least 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1769.44,11000,Satisfied,Checked,Checked,Not checked,Not checked,Not checked,Satisfied,Satisfied,110000000,Not checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,10000000,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,11000,Not checked,Checked,Checked,Not checked,Not checked,Not checked,18,10,Satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,11100,Checked,Checked,Checked,Not checked,Not checked,110000,Not checked,Not checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,110000,Not checked,Not checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,1000000,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,20,Satisfied,Satisfied,10000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,,,,,,,,,,,,,,,,110011100100,Checked,Checked,Not checked,Not checked,Checked,Checked,Checked,Not checked,Not checked,Checked,Not checked,Not checked,10000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,No,,,,,,,,,,,,,,150,Satisfied,Satisfied
4,At least 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,933.00,10000,Satisfied,Checked,Not checked,Not checked,Not checked,Not checked,,,,,,,,,,,,,,1000000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,11000,Not checked,Checked,Checked,Not checked,Not checked,Not checked,15,,Satisfied,,,,,,,,,,,,,,,,,,,,,,,4,Neither satisfied nor dissatisfied,Satisfied,100,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47,1100,Not checked,Checked,Checked,Not checked,Not checked,,,,,,,,,,100,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,100,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,30,Dissatisfied,Dissatisfied,,,,,,,,,,,,,,,,,,,,,,,,,11000000000,Not checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,10,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,No,,,,,,,,,,,,,,30,Satisfied,Satisfied
5,At least 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,1100,Not checked,Checked,Checked,Not checked,Not checked,,,,,,,,,,1000,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,1,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,30,Neither satisfied nor dissatisfied,Satisfied,,,,,,,,,,,,,,,,,,,,,,,,,1000000000,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,10000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,No,,,,,,,,,,,,,,40,Don't know / doesn't apply,Satisfied
6,At least 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2848.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,At least 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Don't know / doesn't apply,Don't know / doesn't apply,10,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,8.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,At least 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2848.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,At least 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1748.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.36,10000,Checked,Not checked,Not checked,Not checked,Not checked,1100,Not checked,Not checked,Not checked,Not checked,Checked,Checked,Not checked,Not checked,,,,,,,,,,,,,,,,,,,60,Highly satisfied,Satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,At least 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.04,10000,Satisfied,Checked,Not checked,Not checked,Not checked,Not checked,,,,,,,,,,,,,,10000000,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,1000,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,1,,Satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,1100,Not checked,Not checked,Not checked,Not checked,Checked,Checked,Not checked,Not checked,No,,,,,,,,,,,,,,360,Satisfied,Satisfied
11,At least 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1278.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
