,bike1,bike101,bike102,bike103,bike104,bike105,bike106,bike107,bike108,bike2,bike201,bike202,bike203,bike204,bike205,bike3,bike4,bike42,bike5,bike501,bike502,bike503,bike504,bike6,bike8,bike9,boat1,boat101,boat102,boat103,boat2,boat201,boat202,boat203,boat22,boat2201,boat2202,boat2203,boat3,boat301,boat302,boat303,boat32,boat3201,boat3202,boat3203,boat4,boat401,boat402,boat403,boat5,boat501,boat502,boat503,boat504,boat505,boat506,boat507,boat508,boat509,boat510,boat6,boat8,boat9,branch3,camp1,camp10,camp101,camp102,camp103,camp104,camp105,camp106,camp107,camp108,camp12,camp13,camp2,camp201,camp202,camp203,camp3,camp301,camp302,camp303,camp304,camp305,camp306,camp4,camp401,camp402,camp403,camp5,camp501,camp502,camp503,camp6,camp601,camp602,camp603,camp604,camp7,camp701,camp702,camp703,camp8,camp9,climb1,climb101,climb102,climb103,climb104,climb105,climb2,climb4,climb5,disk1,disk101,disk102,disk103,disk104,disk105,disk106,disk107,disk108,disk12,disk3,disk4,fish1,fish10,fish101,fish102,fish103,fish2,fish201,fish202,fish203,fish3,fish301,fish302,fish303,fish304,fish305,fish306,fish307,fish308,fish4,fish401,fish402,fish403,fish404,fish405,fish5,fish501,fish502,fish503,fish504,fish505,fish6,fish601,fish602,fish603,fish604,fish7,fish9,foot1,foot101,foot102,foot103,foot104,foot105,foot106,foot2,foot3,foot5,foot6,gard1,gard2,gard3,gard3st,gard4,gard6,gard7,golf1,golf101,golf102,golf103,golf104,golf105,golf106,golf107,golf108,golf109,golf110,golf111,golf2,golf4,golf5,hand1,hand101,hand102,hand103,hand104,hand105,hand106,hand107,hand108,hand109,hand2,hand4,hand5,hik1,hik101,hik102,hik103,hik104,hik105,hik106,hik2,hik201,hik202,hik203,hik204,hik205,hik3,hik301,hik302,hik303,hik304,hik305,hik306,hik307,hik308,hik309,hik310,hik311,hik312,hik4,hik6,hik7,hiweight,idnumber,loweight
0,11110000,Checked,Checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,100,Not checked,Not checked,Checked,Not checked,Not checked,No,No,No,,,,,,300,Highly satisfied,Highly satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At least 18,1000,15,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Highly satisfied,Satisfied,,,,,,,,,,,,,,,,100,Checked,Not checked,Not checked,,,,,,,,,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,,,Don't know / doesn't apply,Highly dissatisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1704.41,1.00,4.53
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At least 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3744.38,2.00,1.43
2,,,,,,,,,,,,,,,,,,,,,,,,,,,100,Checked,Not checked,Not checked,,,,,,,,,,,,,,,,,1,Not checked,Not checked,Checked,10,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,,Don't know / doesn't apply,Don't know / doesn't apply,At least 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,,,,,,,100000,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,10,Highly satisfied,Highly satisfied,3857.00,3.00,1.48
3,11110000,Checked,Checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,11100,Checked,Checked,Checked,Not checked,Not checked,Yes,No,Yes,100,Not checked,Checked,Not checked,Not checked,365,Satisfied,Highly satisfied,110,Checked,Checked,Not checked,100,Checked,Not checked,Not checked,110,Checked,Checked,Not checked,100,Checked,Not checked,Not checked,110,Checked,Checked,Not checked,110,Checked,Checked,Not checked,11000,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Checked,Not checked,Not checked,Not checked,45,Satisfied,Satisfied,At least 18,11111000,60,Checked,Checked,Checked,Checked,Checked,Not checked,Not checked,Not checked,Dissatisfied,Satisfied,110,Checked,Checked,Not checked,11000,Not checked,Checked,Checked,Not checked,Not checked,Not checked,110,Checked,Checked,Not checked,110,Checked,Checked,Not checked,1000,Checked,Not checked,Not checked,Not checked,,,,,No,No,10000,Checked,Not checked,Not checked,Not checked,Not checked,20,Satisfied,Satisfied,10000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,15,Satisfied,Satisfied,110,Highly satisfied,Checked,Checked,Not checked,110,Checked,Checked,Not checked,11001100,Checked,Checked,Not checked,Not checked,Checked,Checked,Not checked,Not checked,,,,,,,,,,,,,10,Not checked,Not checked,Checked,Not checked,20,Highly satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,20,Satisfied,Satisfied,111100,Checked,Checked,Checked,Checked,Not checked,Not checked,11100,Checked,Checked,Checked,Not checked,Not checked,110011100000,Checked,Checked,Not checked,Not checked,Checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,30,Satisfied,Satisfied,1769.44,4.00,0.47
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At least 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Satisfied,Not checked,Checked,Not checked,100,Checked,Not checked,Not checked,,,,,,,,,,10100,Checked,Not checked,Checked,Not checked,Not checked,,,,,,,10,Not checked,Not checked,Checked,Not checked,30,Neither satisfied nor dissatisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,,,,,,,1001000000,Not checked,Not checked,Checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,14,Neither satisfied nor dissatisfied,Satisfied,933.00,5.00,0.47
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At least 18,1000,12,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Neither satisfied nor dissatisfied,Don't know / doesn't apply,,,,,,,,,,,,,,,,100,Checked,Not checked,Not checked,,,,,,,,,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.69,6.00,0.57
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At least 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2848.51,7.00,0.58
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At least 18,100,5,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Satisfied,Satisfied,,,,,,,,,,,,,,,,,,,,,,,,,1,Not checked,Not checked,Checked,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,,,Don't know / doesn't apply,Don't know / doesn't apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.36,8.00,0.44
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,At least 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,Yes,,,Don't know / doesn't apply,Don't know / doesn't apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110000,Checked,Checked,Not checked,Not checked,Not checked,Not checked,1000,Not checked,Checked,Not checked,Not checked,Not checked,10000000000,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,1,Satisfied,Satisfied,2848.51,9.00,0.58
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Not checked,Checked,Not checked,1000,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,10,Highly satisfied,Satisfied,At least 18,100,15,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Highly satisfied,Highly satisfied,,,,,,,,,,,,,,,,,,,,,,,,,100,Checked,Not checked,Not checked,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1748.41,10.00,1.36
