,branch5,branch6,hiweight,icetv1,icetv101,icetv102,icetv103,icetv104,icetv105,icetv106,icetv107,icetv108,icetv2,icetv4,icetv5,idnumber,loweight,picn1,picn101,picn102,picn103,picn104,picn105,picn106,picn107,picn108,picn109,picn110,picn111,picn2,picn3,picn4,picn6,picn7,picnx,play1,play101,play102,play103,play104,play105,play106,play107,play2,play4,play5,roll1,roll101,roll102,roll103,roll104,roll105,roll106,roll107,roll108,roll109,roll110,roll2,roll4,roll5,rug1,rug101,rug102,rug103,rug104,rug105,rug106,rug2,rug3,rug5,rug6,scub1,scub101,scub102,scub103,scub2,scub4,scub5,see1,see101,see102,see103,see104,see105,see2,see4,see5,skbd1,skbd101,skbd102,skbd103,skbd104,skbd105,skbd106,skbd107,skbd108,skbd109,skbd110,skbd2,skbd4,skbd5,snobd1,snobd101,snobd102,snobd103,snobd2,snork1,snork101,snork102,snork103,snork2,snork4,snork5,soc1,soc101,soc102,soc103,soc104,soc105,soc106,soc107,soc108,soc109,soc110,soc2,soc3,soc5,soc6,soft1,soft101,soft102,soft103,soft104,soft105,soft106,soft107,soft2,soft3,soft5,soft6,tenn1,tenn101,tenn102,tenn103,tenn104,tenn105,tenn106,tenn107,tenn108,tenn2,tenn4,tenn5,voll1,voll101,voll102,voll103,voll104,voll105,voll106,voll107,voll108,voll109,voll110,voll2,voll3,voll5,voll6,walk1,walk10,walk11,walk2,walk201,walk202,walk203,walk204,walk205,walk206,walk207,walk208,walk209,walk210,walk211,walk3,walk301,walk302,walk303,walk304,walk305,walk306,walk307,walk308,walk309,walk310,walk311,walk4,walk401,walk402,walk403,walk404,walk405,walk5,walk6,walk601,walk602,walk603,walk604,walk605,walk606,walk607,walk7,walk701,walk702,walk703,walk704,walk705,walk8,wghts1,wghts101,wghts102,wghts103,wghts104,wghts105,wghts106,wghts107,wghts108,wghts109,wghts110,wghts111,wghts2,wghts4,wghts5,wski1,wski101,wski102,wski103,wski2,wski4,wski5,xski1,xski101,xski102,xski103,xski104,xski105,xski106,xski107,xski108,xski2,xski4,xski5,xski6,xski8,xski82
0,At least 18,At least 18,1704.41,,,,,,,,,,,,,1.00,4.53,100,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,No,,3,Satisfied,Satisfied,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000000,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,No,13,Highly satisfied,Highly satisfied,,,,,,,,,,,,,11000,Not checked,Not checked,Not checked,Checked,Checked,Not checked,Not checked,Not checked,14,Satisfied,Satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,60,Satisfied,Satisfied,,,,,,,,,,,,,,,,,,,,,,
1,At least 18,At least 18,3744.38,,,,,,,,,,,,,2.00,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,Checked,Not checked,Not checked,Not checked,Not checked,9,Highly satisfied,Highly satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walked with a pet,Satisfied,Satisfied,10000000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Not checked,Not checked,Not checked,Checked,Not checked,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,At least 18,At least 18,3857.00,,,,,,,,,,,,,3.00,1.48,100,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,No,,10,Highly satisfied,Highly satisfied,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,Not checked,Not checked,Checked,Not checked,Not checked,10,Highly satisfied,Highly satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walked with a pet,Highly satisfied,Highly satisfied,1100000000,Not checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,11100000000,Checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,11000,Checked,Checked,Not checked,Not checked,Not checked,Yes,,,,,,,,,11100,Checked,Checked,Checked,Not checked,Not checked,100,1000000000,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,50,Highly satisfied,Highly satisfied,,,,,,,,,,,,,,,,,,,,,,
3,At least 18,At least 18,1769.44,,,,,,,,,,,,,4.00,0.47,11001100100,Checked,Checked,Not checked,Not checked,Checked,Checked,Not checked,Not checked,Checked,Not checked,Not checked,Yes,Yes,30,Satisfied,Satisfied,Yes,1110000,Checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,150,Satisfied,Satisfied,1000000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,10,Satisfied,Satisfied,,,,,,,,,,,,,,,,,,,11100,Checked,Checked,Checked,Not checked,Not checked,360,Satisfied,Highly satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,No,10,Satisfied,Satisfied,,,,,,,,,,,,,1000000,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,No,15,Satisfied,Satisfied,Walked with a pet,Satisfied,Satisfied,11111000000,Checked,Checked,Checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,11111000000,Checked,Checked,Checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,11100,Checked,Checked,Checked,Not checked,Not checked,No,,,,,,,,,10000,Checked,Not checked,Not checked,Not checked,Not checked,40,,,,,,,,,,,,,,,,110,Checked,Checked,Not checked,12,Satisfied,Satisfied,10000,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,5,Satisfied,Satisfied,,,
4,At least 18,At least 18,933.00,,,,,,,,,,,,,5.00,0.47,1000,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,No,,5,Satisfied,Satisfied,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,Not checked,Not checked,Checked,Not checked,Not checked,10,Satisfied,Satisfied,,,,,,,,,,,,,,,,,,,,10,Not checked,Checked,Not checked,7,Satisfied,Satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walked with a pet,Satisfied,Satisfied,10000000,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,,,,,,,,,,,,,1000,Not checked,Checked,Not checked,Not checked,Not checked,,,,,,,,,,100,Not checked,Not checked,Checked,Not checked,Not checked,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,At least 18,At least 18,110.69,,,,,,,,,,,,,6.00,0.57,100,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,No,,20,Don't know / doesn't apply,Don't know / doesn't apply,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,At least 18,At least 18,2848.51,,,,,,,,,,,,,7.00,0.58,100,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,No,,2,Don't know / doesn't apply,Satisfied,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walked with a pet,Highly satisfied,Highly satisfied,10000000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,Checked,Not checked,Not checked,Not checked,Not checked,365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,At least 18,At least 18,84.36,,,,,,,,,,,,,8.00,0.44,1100,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Checked,Not checked,Not checked,No,,25,Don't know / doesn't apply,Don't know / doesn't apply,No,1000000,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,10,Satisfied,Satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100,Not checked,Checked,Checked,Not checked,Not checked,8,Satisfied,Highly satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Walked with a pet,Satisfied,Highly satisfied,11110000000,Checked,Checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,11110000000,Checked,Checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,10000,Checked,Not checked,Not checked,Not checked,Not checked,No,,,,,,,,,10,Not checked,Not checked,Not checked,Checked,Not checked,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,At least 18,At least 18,2848.51,,,,,,,,,,,,,9.00,0.58,1000,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Yes,Yes,3,Satisfied,Satisfied,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Not checked,Not checked,Not checked,Checked,Not checked,18,Satisfied,Highly satisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not walk with a pet,Satisfied,Satisfied,,,,,,,,,,,,,11111000000,Checked,Checked,Checked,Checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,1000,Not checked,Checked,Not checked,Not checked,Not checked,No,,,,,,,,,,,,,,,21,1001000000,Not checked,Checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,60,Satisfied,Satisfied,,,,,,,,,,,,,,,,,,,,,,
9,At least 18,At least 18,76.63,,,,,,,,,,,,,39.00,0.40,1000,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Checked,Not checked,Not checked,Not checked,No,,10,Dissatisfied,Dissatisfied,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Did not walk with a pet,Highly satisfied,Highly satisfied,,,,,,,,,,,,,1000000000,Not checked,Checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,Not checked,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
